Time(ns),PB_com,PB_pro,PB_lig,SA_com,SA_pro,SA_lig,vdw,cou,cou (with DH),MM,MM (with DH),dPB,dSA,MM-PBSA,MM-PBSA (with DH),dG,dG (with DH)
0.0,-4727.3557,-4773.5789,-87.5749,380.7776,384.7984,16.8277,-138.8416,-56.3618,-55.1267,-195.2034,-193.9683,133.7981,-20.8485,-82.2539,-81.0187,-55.1364,-53.9012
0.5,-4814.4648,-4843.9525,-102.3419,352.4609,355.3136,20.6126,-125.8474,-51.5233,-49.963,-177.3707,-175.8104,131.8297,-23.4653,-69.0063,-67.4461,-41.8888,-40.3286
1.0,-4700.9341,-4701.0961,-97.6553,343.384,347.7137,19.9585,-133.1857,-16.2458,-15.9971,-149.4315,-149.1829,97.8173,-24.2882,-75.9024,-75.6538,-48.7849,-48.5363
1.5,-4722.2413,-4755.9531,-101.9869,340.4925,344.8869,19.7378,-152.5944,-37.3024,-35.9117,-189.8968,-188.5061,135.6987,-24.1323,-78.3303,-76.9396,-51.2128,-49.8221
2.0,-5096.2989,-5113.6237,-94.0956,350.4584,353.7661,19.7042,-131.1659,-38.81,-37.3199,-169.9759,-168.4858,111.4204,-23.0119,-81.5674,-80.0773,-54.4499,-52.9598
2.5,-4607.508,-4635.5167,-101.9657,335.87,337.1398,19.9568,-132.9639,-48.4447,-46.9685,-181.4086,-179.9324,129.9744,-21.2266,-72.6608,-71.1846,-45.5433,-44.0671
3.0,-4342.0354,-4345.2002,-96.5161,325.6119,327.5952,19.8568,-123.8882,-37.2852,-35.2883,-161.1734,-159.1764,99.6809,-21.8401,-83.3326,-81.3356,-56.2151,-54.2181
3.5,-4427.8665,-4390.9065,-92.3908,328.0272,329.8968,20.1356,-129.3684,10.8026,9.0158,-118.5658,-120.3526,55.4308,-22.0052,-85.1402,-86.927,-58.0227,-59.8095
4.0,-4408.9402,-4388.9991,-90.8663,323.2875,324.597,20.2058,-131.833,7.2943,6.947,-124.5388,-124.886,70.9251,-21.5154,-75.129,-75.4763,-48.0115,-48.3588
4.5,-4291.8407,-4294.7296,-93.6063,316.7285,317.2326,20.1078,-133.5184,-1.1887,-0.3837,-134.7071,-133.902,96.4952,-20.6119,-58.8237,-58.0187,-31.7062,-30.9012
5.0,-4776.9507,-4766.3893,-91.4868,329.8889,328.7302,20.3401,-118.9415,-10.7366,-9.5424,-129.6781,-128.484,80.9254,-19.1815,-67.9342,-66.7401,-40.8167,-39.6226
5.5,-4325.0955,-4321.9903,-95.9087,312.9545,313.7502,20.437,-127.6461,-3.7004,-4.668,-131.3465,-132.3141,92.8035,-21.2327,-59.7758,-60.7433,-32.6583,-33.6258
6.0,-4184.2742,-4186.8468,-93.0119,303.9032,303.3619,20.4478,-128.6245,-12.8182,-12.131,-141.4427,-140.7555,95.5845,-19.9066,-65.7648,-65.0775,-38.6473,-37.96
6.5,-4306.5542,-4308.9431,-91.4444,304.7822,304.8982,20.1355,-126.5179,2.0042,1.0856,-124.5137,-125.4324,93.8332,-20.2516,-50.9321,-51.8508,-23.8146,-24.7333
7.0,-4179.1385,-4183.43,-91.5401,305.6875,304.9416,20.1756,-112.4511,-35.3873,-31.7026,-147.8384,-144.1538,95.8316,-19.4298,-71.4366,-67.752,-44.3191,-40.6345
7.5,-3988.8977,-4012.1878,-93.9498,294.9953,297.0418,20.4408,-144.7195,1.1182,-1.2357,-143.6012,-145.9551,117.2399,-22.4873,-48.8486,-51.2025,-21.7311,-24.085
8.0,-4211.1176,-4203.427,-92.6918,293.5844,292.3376,20.4199,-125.7656,-22.0065,-18.6114,-147.7721,-144.377,85.0012,-19.1731,-81.944,-78.5489,-54.8265,-51.4314
8.5,-4127.0754,-4133.0123,-93.1786,299.2469,299.4439,20.389,-149.0588,-20.166,-17.7177,-169.2248,-166.7765,99.1154,-20.5861,-90.6954,-88.2471,-63.5779,-61.1296
9.0,-4309.1594,-4324.0178,-91.4096,307.1613,309.8455,19.9672,-158.2705,-17.9054,-16.1002,-176.1759,-174.3707,106.268,-22.6514,-92.5593,-90.7541,-65.4418,-63.6366
9.5,-4369.6685,-4384.9117,-94.3801,318.5989,320.7601,20.136,-144.2664,-16.8219,-16.0775,-161.0883,-160.3439,109.6233,-22.2972,-73.7623,-73.0178,-46.6448,-45.9003
10.0,-4354.7046,-4348.4131,-94.8175,325.0693,327.8458,20.0746,-134.6436,1.3389,0.845,-133.3047,-133.7986,88.5261,-22.8511,-67.6297,-68.1236,-40.5122,-41.0061
Mean,-4441.5296,-4448.4345,-94.42,323.4748,325.0427,20.0032,-133.5292,-19.245,-18.4215,-152.7742,-151.9507,101.3249,-21.5711,-73.0204,-72.1969,-45.9029,-45.0794
Std,275.9598,282.2859,3.8737,21.8483,23.0702,0.7679,11.1582,20.2122,19.2024,23.0156,22.2321,20.6734,1.537,11.837,11.0814,11.837,11.0814
